scientific_name,mass_g
Arborophila cambodiana,285.9
Arborophila campbelli,336.0
Arborophila crudigularis,256.8
Arborophila davidi,241.0
Arborophila gingica,253.0
Arborophila hyperythra,270.0
Arborophila javanica,272.0
Arborophila mandellii,268.0
Arborophila orientalis,336.0
Arborophila rolli,336.0
Arborophila rubrirostris,225.4
Arborophila rufipectus,400.1
Arborophila rufogularis,344.5
Arborophila sumatrana,336.0
Arborophila torqueola,344.5
Arcanator orostruthus,32.7
Archboldia papuensis,177.6
Archilochus alexandri,3.4
Archilochus colubris,3.1
Ardea alba,871.3
Ardea cinerea,1443.0
Ardea cocoi,1752.4
Ardea goliath,4468.0
Ardea herodias,2523.4
Ardea humbloti,1060.0
Ardea insignis,2024.0
Ardea intermedia,458.8
Ardea melanocephala,1060.0
Ardea pacifica,881.0
Ardea purpurea,1064.5
Ardea sumatrana,2024.0
Ardenna bulleri,407.0
Ardenna carneipes,609.0
Ardenna creatopus,744.0
Ardenna gravis,849.0
Ardenna grisea,787.0
Ardenna pacifica,388.0
Ardenna tenuirostris,559.0
Ardeola bacchus,304.9
Ardeola grayii,253.0
Ardeola idae,253.0
Ardeola ralloides,287.0
Ardeola rufiventris,201.5
Ardeola speciosa,253.0
Ardeotis arabs,5943.5
Ardeotis australis,4182.4
Ardeotis kori,7994.2
Ardeotis nigriceps,7235.3
Arenaria interpres,136.0
Arenaria melanocephala,126.2
Argusianus argus,1959.9
Argya affinis,63.3
Argya altirostris,33.0
Argya aylmeri,35.3
Argya caudata,39.2
Argya cinereifrons,70.0
Argya earlei,47.0
Argya fulva,61.4
Argya gularis,45.5
Argya huttoni,39.2
Argya longirostris,35.0
Argya malcolmi,75.7
Argya rubiginosa,40.6
Argya rufescens,64.5
Argya squamiceps,72.9
Argya striata,66.0
Argya subrufa,66.7
Arizelocichla chlorigula,34.5
Arizelocichla fusciceps,34.5
Arizelocichla masukuensis,26.8
Arizelocichla milanjensis,37.4
Arizelocichla montana,32.6
Arizelocichla neumanni,34.5
Arizelocichla nigriceps,34.5
Arizelocichla tephrolaema,38.3
Arremon abeillei,25.9
Arremon assimilis,39.0
Arremon atricapillus,44.6
Arremon aurantiirostris,34.5
Arremon basilicus,42.0
Arremon brunneinucha,44.0
Arremon castaneiceps,36.9
Arremon costaricensis,42.0
Arremon crassirostris,38.7
Arremon dorbignii,26.1
Arremon flavirostris,26.1
Arremon franciscanus,24.9
Arremon perijanus,42.0
Arremon phaeopleurus,42.0
Arremon phygas,42.0
Arremon schlegeli,27.7
Arremon semitorquatus,25.0
Arremon taciturnus,24.8
Arremon torquatus,42.0
Arremon virenticeps,41.0
Arremonops chloronotus,27.4
Arremonops conirostris,35.9
Arremonops rufivirgatus,22.4
Arremonops tocuyensis,29.4
Arses insularis,19.3
Arses kaupi,13.5
Arses lorealis,13.7
Arses telescopthalmus,15.3
Artamella viridis,48.8
Artamus cinereus,35.6
Artamus cyanopterus,34.6
Artamus fuscus,39.8
Artamus insignis,51.3
Artamus leucorynchus,41.7
Artamus maximus,58.2
Artamus mentalis,41.9
Artamus minor,16.0
Artamus monachus,51.3
Artamus personatus,34.6
Artamus superciliosus,35.5
Artemisiospiza belli,17.0
Artemisiospiza nevadensis,18.5
Artisornis metopias,8.4
Artisornis moreaui,9.2
Arundinax aedon,22.4
Arundinicola leucocephala,13.8
Asarcornis scutulata,2937.4
Asemospiza fuliginosa,13.3
Asemospiza obscura,11.2
Ashbyia lovensis,17.5
Asio abyssinicus,322.5
Asio capensis,334.0
Asio clamator,443.3
Asio flammeus,322.6
Asio grammicus,335.0
Asio madagascariensis,322.5
Asio otus,296.6
Asio solomonensis,1155.0
Asio stygius,565.0
Aspatha gularis,62.7
Asthenes anthoides,22.3
Asthenes ayacuchensis,20.2
Asthenes baeri,17.8
Asthenes berlepschi,67.0
Asthenes coryi,16.8
Asthenes dorbignyi,15.9
